company_name,job_dsc,job_date,gain_skills,location,website,logo
Winton Capital Management,"Quantitative Researcher, Assistant.",09.2013 – 06.2014,"Statistical methodology for developping trading systems, interactive visualizations.",Zurich,http://www.wintoncapital.com,fa-bitcoin
ETHZ,Research Assistant,12.2012 – 05.2013,"R, xml, xPath, gglot2, regression analysis, parallel computations.",Zurich,http://www.econ.ethz.ch,fa-search-plus
"UBS - Investment Banking","Quantitative Risk Controller, Intern.",05.2012 - 09.2012,"Excel VBA, solving problem quantitatively, data analysis, automation skills.",Zurich,http://www.ubs.com,fa-globe
Lombard Odier,"Quantitative Risk Developer, Intern.",09.2011 - 12.2011,"Communication, creativity, reading and understanding code from other people, VBA.",Geneva,http://www.lombardodier.com,fa-money
Deutsche Bank,"Business Operation Manager, Part-time.",07.2008 – 12.2008,"VBA, Excel, communication with other teams, flexibility.",Geneva,http://www.db.com,fa-euro
